pid,age,des1,des1seen,des1name,des2,des2seen,des2name,des3,des3seen,des3name,des4,des4seen,des4name,des5,des5seen,des5name,des6,des6seen,des6name,des7,des7seen,des7name,des8,des8seen,des8name,des9,des9seen,des9name,des10,des10seen,des10name,des11,des11seen,des11name,des12,des12seen,des12name,des13,des13seen,des13name,des14,des14seen,des14name,des15,des15seen,des15name,des16,des16seen,des17,des17seen,des18
ind1,69,maunula,y,manulua,"tokelau feletoa, for royalty/nobels",y,tokelau feletoa,matali ifi,y,matali ifi,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,,,,,,,,,,,,,,
ind2,59,"no, no, seen yes",y,no,"no, yes seen",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes",y,no,,,,,,,,,,,,,,
ind3,38,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,,,,,,,,,,,
ind4,37,"no, used to send the people",y,no,"manulua, doesn't know",n,no,"no, ",n,no,"no, no",n,no,"no, no",n,no,"hamuhamukofe, sail",y,hamuhamukofe,no,n,no,no,n,no,"no, no",n,no,"tokelaufeletoa, sail",y,tokelau feletoa,no,n,no,no,n,no,no,n,no,,,,,,,,,,,
ind5,25,"no, no, seen yes",y,no,tokelau feletoa,y,tokelau feletoa,"no, no, no",n,no,"no, sail, yes seen",y,no,"no, no, no",n,no,"no, hang on house, yes seen",y,no,"no, no, no",n,no,"no, no, no",n,no,"no, no, no",n,no," no, hang on house, yes seen",y,no,"no, hang on house, yes seen",y,no,"no, no, no",n,no,"no, used to make ta'o vala",y,no,,,,,,,,,,,
ind6,52,"Maunula, in a natu, seen yes",y,manulua,"no, table mats, yes seen",y,no,"no, sail, yes seen",y,no,"no, weaving, yes seen",y,no,"no, weaving, yes seen",y,no,"no, hanging on house, yes seen",y,no,,,,"no, sail, yes seen",y,no,"no, sail and weaving, yes seen",y,no,"no, weaving, yes seen",y,no,"no, print on natu, yes",y,no,"no, draw on natu and hang on house, yes",y,no,"Manulua, hang on house and for weaving, sail",y,manulua,,,,,,,,,,,
ind7,53,"Maunala, Natu, Tapa, seen yes",y,manulua," tokelau feletoa, natu and tupenu, ethnic marker, seen yes",y,tokelau feletoa,"sisi, tapa and weaving, for the princess piloleva",y,no,"hamoa mo kofe, tapa tupenu, only royal family",y,hamoa mo kofe,"no, seen yes",y,no,"no, seen yes",y,no,"no, seen yes on tapa",y,no,"no, no",n,no,"no, seen on tapa",y,no,"no, seen on tapa",y,no,"no, seen on tapa",y,no,"fo'ihea, only used for tapa",y,fo'i hea,"manulua, used as a border for the tapa",y,manulua,,,,,,,,,,,
ind8,58,"no, no",n,no,"no, no",n,no,"sisi, no",n,no,"no, no",n,no,pule efu,y,pule efu,"no, no",n,no,"no, no",n,no,tuanga fuka,y,tuanga fuka,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,,,,,,,,,,,
ind9,23,"no ,no",n,no,"no, yes seen in market in Tonga Tapu",y,no,"no, seen no",n,no,"no, seen no",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, yes seen at market in Tonga Tapu",y,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,,,,,,,,,,,
ind10,25,"no, not seen",n,no,"no, not seen",n,no,"no, seen no",n,no,"no, seen no",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,"no, not seen",n,no,,,,,,,,,,,
ind11,56,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,,,,,,,,,,,
ind12,33,"no ,no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, seen yes",y,no,,,,,,,,,,,
ind13,24,"Manulua, yes",y,manulua,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen on tattoo",y,no,"no, yes seen of tattoo",y,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, no",n,no,,,,,,,,,,,
ind14,74,"no ,no",n,no,,,,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"flower, seen yes",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,,,,,,,,,,,
ind15,28,"Manulua, yes seen",y,manulua,"no, yes seen in market in Tonga Tapu",y,no,"no, yes market",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen in market and tattoo",y,no,"no, yes seen in market and natu",y,no,"no, no",n,no,"no, yes seen on tattoo",y,no,"no, yes tattoo",y,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, yes seen on tattoo",y,no,,,,,,,,,,,
ind16,48,"Manulua, yes seen",y,manulua,tokelau feletoa,y,tokelau feletoa,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, seen on thing in town",y,no,"no, yes seen on matte",y,no,"no, no",n,no,"pule, yes seen on matte",y,no,"no, no",n,no,"pule, yes on matte",y,no,"no, yes seen on tapa",y,no,,,,,,,,,,,
ind17,41,"no, yes seen in market",y,no,"diamond, yes seen in market",y,no,"no, no",n,no,"no, yes seen in tongatapu",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen in tonga tapu",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes seen in tonga",y,no,,,,,,,,,,,
ind18,29,"no, yes seen on tapa",y,no,"no, yes seen on tapa",y,no,"no, yes seen on tapa",y,no,"no, yes seen on tapa",y,no,"no, yes seen on weaving",y,no,"no, yes seen on tapa",y,no,"no, yes seen on tapa",y,no,"no, no",n,no,"no, yes seen on tapa",y,no,"no, seen on weaving",y,no,"no, yes seen on tapa",y,no,"no, yes seen on tapa",y,no,"no, yes seen on tapa",y,no,,,,,,,,,,,
ind19,23,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, no",n,,,
ind20,61,"Manulua, yes seen",y,manulua,"tokelau feletoa, yesseen",y,tokelau feletoa,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"o, yes seen",y,no,"fata, yes seen",y,fata,"no, yes seen",y,no,"no, yes seen",y,no,"no, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,,,
ind21,73,"Manulua, yes",y,manulua,"tokelau feletoa, yes seen",y,tokelau feletoa,"fata, yes seen",y,fata,"no, yes seen (goes with fig. 3)",y,no,"no, yes seen, new design, used to decorate natu",y,no,"no, yes seen, not a kupesi, only for decoration",y,no,"no, seen yes, part of fig. 3",y,no,"no, no",n,no,"no, yes seen, decoration, goes with fig. 3",y,no,"no, yes seen",y,no,"no, yes seen on necklace",y,no,"tapatolu, seen on natu",n,tapatolu,"manulua, yes seen",y,manulua,"no, decorate fata",y,no,"no, seen in yes",y,no,"no, seen it yes",y,,,
ind22,40,"no, seen yes",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, yes seen natu",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen on natu",y,no,"no, yes seen on natu",y,no,"no, no",n,no,"no, no",n,,,
ind23,18,"no, yes seen",y,no,"no, yes seen at school",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen at school",y,no,"no, yes seen at school",y,no,"no, yes seen at school",y,no,"no, no",n,no,"no, yes seen on tattoo",y,no,"no, yes seen at school",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,,,
ind24,18,"no, yes seen at school",y,no,"tokaloufeletoa, yes seen at school",y,tokelau feletoa,"no, yes seen at school",y,no,"no, no",n,no,"no, no",n,no,"np, yes seen at school",y,no,"np, yes seen at school",y,no,"no, no",n,no,"no, yes seen at school",y,no,"no, yes seen at school",y,no,"no, no",n,no,"no, no",n,no,"no, yes seen",y,no,"no, yes seen at school",y,no,"no, no",n,no,"no, no",n,,,
ind25,56,"tokalau feletoa, yes seen",y,tokelau feletoa,"manulua, yes seen",y,manulua,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no, yes",y,no,"no, no",n,no,"no, no",n,no,"no name, yes seen",y,no,"no, no",n,no,"no, no",n,no,"no, no",n,no,"no name, yes seen",y,no,"no, no",n,no,"no, no",n,,,
